Tester,SystemName,Nodes,JVMVendor,CPUDescription,MHz,Chips,Cores,TotalThreads,TotalMemory,SSJ,AVG,AVGidle,Overall
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.2 GHz)",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,316,689",246,51.3,"4,929"
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",1,Oracle Corporation,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,"2,540,179",446,110,"4,894"
Dell Inc.,"PowerEdge M520
",16,Oracle Corporation,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz),2300,32,256,512,384,"20,832,566","4,026",713,"5,034"
Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",1,Oracle Corporation,Intel Xeon E5-2470 2.3GHz,2300,2,16,32,24,"1,187,945",205,51.2,"4,866"
Dell Inc.,"PowerEdge M420
",32,Oracle Corporation,Intel Xeon E5-2470 (2.3 GHz),2300,64,512,1024,768,"36,985,454","6,854","1,773","4,535"
Dell Inc.,"PowerEdge R815 (AMD Opteron 6278, 2.40 GHz)",1,IBM Corp.,AMD Opteron 6278,2400,4,64,64,64,"2,331,362",593,118,"3,028"
Dell Inc.,"PowerEdge M820
",8,IBM Corporation,Intel Xeon E5-4650L (2.60 GHz),2600,32,512,1024,384,"21,852,947","3,997",832,"4,853"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",1,IBM Corporation,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,NC,NC,NC,NC
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.20 GHz)",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R520 (Intel Xeon E5-2470, 2.30 GHz)",1,IBM Corporation,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300,2,16,32,24,"1,496,064",264,47.9,"5,504"
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,447,466",230,53.8,"5,497"
Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",1,IBM Corporation,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300,2,16,32,24,"1,511,097",263,53.3,"5,420"
Dell Inc.,"PowerEdge M520 (Intel Xeon E5-2470 (2.30 GHz)
",16,IBM Corporation,Intel Xeon E5-2470 (2.30 GHz),2300,32,384,512,256,"23,619,377","4,078",732,"5,521"
Dell Inc.,"PowerEdge M915 (AMD Opteron 6380, 2.50 GHz)
",8,IBM Corporation,AMD Opteron 6380 (2.50 GHz),2500,32,512,512,512,"25,132,429","4,562",976,"4,421"
