TestSponsor,SystemName,Parallel,BaseThreads,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6252)",Yes,48,48,2,1,148&nbsp;&nbsp;&nbsp;,149&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.80 GHz, Intel Xeon Platinum 8256)",Yes,16,8,2,2,66.0&nbsp;,66.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Platinum 8260M)",Yes,48,48,2,1,154&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.00 GHz, AMD EPYC 7702P",Yes,64,64,1,2,133&nbsp;&nbsp;&nbsp;,137&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.90 GHz, AMD EPYC 7542",Yes,32,32,1,2,110&nbsp;&nbsp;&nbsp;,112&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.80 GHz, AMD EPYC 7402P",Yes,24,24,1,2,95.0&nbsp;,97.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.50 GHz, AMD EPYC 7502P",Yes,32,32,1,2,109&nbsp;&nbsp;&nbsp;,111&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2288G)",Yes,8,8,1,1,38.2&nbsp;,38.8&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.25 GHz, AMD EPYC 7742",Yes,128,128,2,2,202&nbsp;&nbsp;&nbsp;,209&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.00 GHz, AMD EPYC 7302P",Yes,16,16,1,2,80.0&nbsp;,83.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.30 GHz, AMD EPYC 7352",Yes,24,24,1,2,92.9&nbsp;,95.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.00 GHz, AMD EPYC 7702",Yes,128,128,2,2,198&nbsp;&nbsp;&nbsp;,205&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2276G)",Yes,12,6,1,2,34.1&nbsp;,34.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2278G)",Yes,8,8,1,1,37.8&nbsp;,38.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (4.00 GHz, Intel Xeon E-2286G)",Yes,6,6,1,1,33.9&nbsp;,34.3&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (4.00 GHz, Intel Xeon E-2274G)",Yes,8,4,1,2,28.8&nbsp;,29.1&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.80 GHz, AMD EPYC 7402",Yes,48,48,2,2,144&nbsp;&nbsp;&nbsp;,148&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.50 GHz, AMD EPYC 7502",Yes,64,64,2,2,162&nbsp;&nbsp;&nbsp;,168&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.20 GHz, AMD EPYC 7262",Yes,8,8,1,2,50.5&nbsp;,53.9&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.00 GHz, AMD EPYC 7302",Yes,32,32,2,2,126&nbsp;&nbsp;&nbsp;,129&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz, AMD EPYC 7742",Yes,64,64,1,2,138&nbsp;&nbsp;&nbsp;,142&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2234)",Yes,8,4,1,2,28.8&nbsp;,29.1&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2236)",Yes,12,6,1,2,33.7&nbsp;,34.1&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2244G)",Yes,8,4,1,2,29.0&nbsp;,29.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2246G)",Yes,12,6,1,2,33.1&nbsp;,33.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2224)",Yes,4,4,1,1,27.4&nbsp;,27.8&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2224G)",Yes,4,4,1,1,27.9&nbsp;,28.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2226G)",Yes,6,6,1,1,33.2&nbsp;,33.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.25 GHz, AMD EPYC 7742",Yes,128,128,2,2,206&nbsp;&nbsp;&nbsp;,213&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6258R)",Yes,56,56,2,1,163&nbsp;&nbsp;&nbsp;,164&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.90 GHz, Intel Xeon Gold 6250)",Yes,32,16,2,2,117&nbsp;&nbsp;&nbsp;,117&nbsp;&nbsp;&nbsp;,--,--
