TestSponsor,SystemName,BaseCopies,EnabledCores,EnabledChips,Cores/Chips,Threads/Core,Base,Peak
ACTION S.A.,ACTINA SOLAR 210 Q5 (Intel Xeon E5-2620),24,12,2,6,2,325&nbsp;&nbsp;&nbsp;,332&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 Q5 (Intel Xeon E5-2620),24,12,2,6,2,325&nbsp;&nbsp;&nbsp;,331&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 202 S5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 S5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 S5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR E 210 Q5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 Q5 (Intel Xeon E5-2603),8,8,2,4,1,178&nbsp;&nbsp;&nbsp;,154&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 X5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 X5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 S5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 X5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 220 S5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR E 210 Q5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 210 Q5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 202 S5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 222 S5 (Intel Xeon E5-2609),8,8,2,4,1,216&nbsp;&nbsp;&nbsp;,187&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 200 S5+ (Intel Xeon E5-2650),32,16,2,8,2,391&nbsp;&nbsp;&nbsp;,401&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 120 S5 (Intel Xeon E3-1220 v2),4,4,1,4,1,120&nbsp;&nbsp;&nbsp;,122&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 110 S5 (Intel Xeon E3-1220 v2),4,4,1,4,1,121&nbsp;&nbsp;&nbsp;,122&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 100 S5 (Intel Xeon E3-1220 v2),4,4,1,4,1,120&nbsp;&nbsp;&nbsp;,121&nbsp;&nbsp;&nbsp;
ACTION S.A.,ACTINA SOLAR 110 X5 (Intel Xeon E3-1220 v2),4,4,1,4,1,120&nbsp;&nbsp;&nbsp;,121&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,374&nbsp;&nbsp;&nbsp;,379&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 S5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,375&nbsp;&nbsp;&nbsp;,379&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S5 (Intel Xeon E5-2650 v2, 2.60 GHz)",32,16,2,8,2,537&nbsp;&nbsp;&nbsp;,548&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 S5 (Intel Xeon E5-2650 v2, 2.60 GHz)",32,16,2,8,2,538&nbsp;&nbsp;&nbsp;,547&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 200 S5 (Intel Xeon E5-2640 v2, 2.00 GHz)",32,16,2,8,2,443&nbsp;&nbsp;&nbsp;,450&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 S5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,374&nbsp;&nbsp;&nbsp;,379&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 S5 (Intel Xeon E5-2650L v2, 1.70 GHz)",40,20,2,10,2,454&nbsp;&nbsp;&nbsp;,462&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 200 S5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,378&nbsp;&nbsp;&nbsp;,382&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 X5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,378&nbsp;&nbsp;&nbsp;,382&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,379&nbsp;&nbsp;&nbsp;,383&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 200 X5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,379&nbsp;&nbsp;&nbsp;,383&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 820 X5 (Intel Xeon E5-2620 v2, 2.10 GHz)",24,12,2,6,2,379&nbsp;&nbsp;&nbsp;,383&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X5 (Intel Xeon E5-2630 v2, 2.60 GHz)",24,12,2,6,2,426&nbsp;&nbsp;&nbsp;,432&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 200 S5 (Intel Xeon E5-2650 v2, 2.60 GHz)",32,16,2,8,2,542&nbsp;&nbsp;&nbsp;,552&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 202 S5 (Intel Xeon E5-2650 v2, 2.60 GHz)",32,16,2,8,2,543&nbsp;&nbsp;&nbsp;,553&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 X5 (Intel Xeon E5-2650 v2, 2.60 GHz)",32,16,2,8,2,543&nbsp;&nbsp;&nbsp;,553&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 220 X5 (Intel Xeon E5-2650 v2, 2.60 GHz)",32,16,2,8,2,543&nbsp;&nbsp;&nbsp;,553&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 820 X5 (Intel Xeon E5-2650 v2, 2.60 GHz)",32,16,2,8,2,542&nbsp;&nbsp;&nbsp;,552&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 222 S5 (Intel Xeon E5-2630 v2, 2.60 GHz)",24,12,2,6,2,426&nbsp;&nbsp;&nbsp;,432&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 S5 (Intel Xeon E5-2630 v2, 2.60 GHz)",24,12,2,6,2,426&nbsp;&nbsp;&nbsp;,431&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 200 S5 (Intel Xeon E5-2630 v2, 2.60 GHz)",24,12,2,6,2,426&nbsp;&nbsp;&nbsp;,433&nbsp;&nbsp;&nbsp;
ACTION S.A.,"ACTINA SOLAR 210 S5 (Intel Xeon E5-2640 v2, 2.00 GHz)",32,16,2,8,2,450&nbsp;&nbsp;&nbsp;,456&nbsp;&nbsp;&nbsp;
