TestSponsor,SystemName,BaseCopies,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.20 GHz, AMD EPYC 7262",16,8,1,2,68.3&nbsp;,71.3&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.00 GHz, AMD EPYC 7302",64,32,2,2,246&nbsp;&nbsp;&nbsp;,260&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz, AMD EPYC 7742",128,64,1,2,355&nbsp;&nbsp;&nbsp;,389&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2246G)",12,6,1,2,48.1&nbsp;,50.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2234)",8,4,1,2,36.3&nbsp;,37.7&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2236)",12,6,1,2,50.5&nbsp;,52.9&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2244G)",8,4,1,2,36.5&nbsp;,37.8&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2226G)",6,6,1,1,43.0&nbsp;,44.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2224)",4,4,1,1,29.0&nbsp;,29.8&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2224G)",4,4,1,1,30.1&nbsp;,31.0&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6258R)",112,56,2,2,367&nbsp;&nbsp;&nbsp;,382&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.90 GHz, Intel Xeon Gold 6250)",32,16,2,2,147&nbsp;&nbsp;&nbsp;,152&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.50 GHz, AMD EPYC 7F52",64,32,2,2,296&nbsp;&nbsp;&nbsp;,312&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.20 GHz, AMD EPYC 7F72",96,48,2,2,391&nbsp;&nbsp;&nbsp;,417&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.70 GHz, AMD EPYC 7F32",16,8,1,2,76.8&nbsp;,80.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.50 GHz, AMD EPYC 7F52",32,16,1,2,149&nbsp;&nbsp;&nbsp;,157&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.20 GHz, AMD EPYC 7F72",48,24,1,2,196&nbsp;&nbsp;&nbsp;,210&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.60 GHz, AMD EPYC 7H12",128,64,1,2,362&nbsp;&nbsp;&nbsp;,393&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.70 GHz, AMD EPYC 7F32",32,16,2,2,152&nbsp;&nbsp;&nbsp;,159&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.00 GHz, AMD EPYC 7662",128,64,1,2,356&nbsp;&nbsp;&nbsp;,388&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.90 GHz, AMD EPYC 7272",24,12,1,2,86.9&nbsp;,92.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.80 GHz, AMD EPYC 7282",32,16,1,2,110&nbsp;&nbsp;&nbsp;,118&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.20 GHz, AMD EPYC 7552",96,48,1,2,295&nbsp;&nbsp;&nbsp;,322&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.10 GHz, AMD EPYC 7232P",16,8,1,2,58.3&nbsp;,61.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.10 GHz, AMD EPYC 7252",16,8,1,2,60.9&nbsp;,64.1&nbsp;,--,--
