,TestSponsor,SystemName,AutoParallel,EnabledCores,EnabledChips,Cores/Chips,Threads/Core,Base,Peak
1395,Dell Inc.,"PowerEdge T605 (AMD Opteron 2393 SE, 3.10 GHz)",Yes,8,2,4,1,20.2,24.9
1396,Dell Inc.,"PowerEdge M905 (AMD Opteron 8393 SE, 3.10 GHz)",Yes,16,4,4,1,19.1,23.5
1397,Dell Inc.,"PowerEdge 2970 (AMD Opteron 2393 SE, 3.10 GHz)",Yes,8,2,4,1,20.2,25.2
1398,Dell Inc.,"PowerEdge R710 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,36.6,38.7
1399,Dell Inc.,"PowerEdge R610 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.7,21.7
1400,Dell Inc.,"PowerEdge R410 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.9,21.8
1401,Dell Inc.,"PowerEdge R410 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.8,24.1
1402,Dell Inc.,"PowerEdge R410 (Intel Xeon E5520, 2.26 GHz)",Yes,8,2,4,2,29.6,31.4
1403,Dell Inc.,"PowerEdge R410 (Intel Xeon E5530, 2.4 GHz)",Yes,8,2,4,2,30.4,32.4
1404,Dell Inc.,"PowerEdge R410 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,36.5,38.4
1405,Dell Inc.,"PowerEdge R410 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,31.8,33.4
1406,Dell Inc.,"PowerEdge R410 (Intel Xeon X5570, 2.93 GHz)",Yes,8,2,4,2,37.6,39.8
1407,Dell Inc.,"PowerEdge T410 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.7,21.8
1408,Dell Inc.,"PowerEdge T410 (Intel Xeon E5520, 2.26 GHz)",Yes,8,2,4,2,29.5,31.2
1409,Dell Inc.,"PowerEdge T410 (Intel Xeon E5530, 2.4 GHz)",Yes,8,2,4,2,30.5,32.4
1410,Dell Inc.,"PowerEdge T410 (Intel Xeon X5550, 2.66 GHz)",Yes,8,2,4,2,35.3,37.5
1411,Dell Inc.,"PowerEdge M710 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.9,21.9
1412,Dell Inc.,"PowerEdge R610 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,31.5,33.7
1413,Dell Inc.,"PowerEdge R710 (Intel Xeon L5506, 2.13 GHz)",Yes,8,2,4,1,23.9,25.3
1414,Dell Inc.,"PowerEdge T410 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,31.7,33.6
1415,Dell Inc.,"PowerEdge R710 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.7,21.8
1416,Dell Inc.,"PowerEdge R710 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.6,24.0
1417,Dell Inc.,"PowerEdge R710 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,30.6,32.5
1418,Dell Inc.,"PowerEdge T410 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,19.6,20.5
1419,Dell Inc.,"PowerEdge R410 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,36.7,38.7
1420,Dell Inc.,"PowerEdge T410 (Intel Xeon X5570, 2.93 GHz)",Yes,8,2,4,2,38.0,40.0
1421,Dell Inc.,"PowerEdge T710 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.7,21.8
1422,Dell Inc.,"PowerEdge T710 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.5,24.0
1423,Dell Inc.,"PowerEdge T710 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,23.5,25.2
1424,Dell Inc.,"PowerEdge T710 (Intel Xeon E5520, 2.26 GHz)",Yes,8,2,4,2,29.7,31.4
1425,Dell Inc.,"PowerEdge T710 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,30.4,32.5
1426,Dell Inc.,"PowerEdge T710 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,31.0,33.1
1427,Dell Inc.,"PowerEdge T710 (Intel Xeon L5520, 2.26 GHz)",Yes,8,2,4,2,29.7,31.4
1428,Dell Inc.,"PowerEdge T710 (Intel Xeon X5550, 2.66 GHz)",Yes,8,2,4,2,35.4,37.4
1429,Dell Inc.,"PowerEdge T710 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,36.4,38.6
1430,Dell Inc.,"PowerEdge T710 (Intel Xeon X5570, 2.93 GHz)",Yes,8,2,4,2,37.3,39.6
1431,Dell Inc.,"Dell Precision T7500 (Intel Xeon W5590, 3.33 GHz)",Yes,8,2,4,2,39.6,42.2
1432,Dell Inc.,"Dell Precision T7500 (Intel Xeon W5590, 3.33 GHz)",Yes,8,2,4,2,37.4,39.0
1433,Dell Inc.,"Dell Precision T3500 (Intel Xeon W3580, 3.33 GHz)",Yes,4,1,4,2,35.7,38.6
1434,Dell Inc.,"PowerEdge R410 (Intel Xeon E5502, 1.86 GHz)",Yes,2,1,2,1,18.2,-1.0
1435,Dell Inc.,"PowerEdge R410 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,18.0,-1.0
1436,Dell Inc.,"PowerEdge R410 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,16.4,-1.0
1437,Dell Inc.,"PowerEdge R410 (Intel Xeon E5502, 1.86 GHz)",Yes,2,1,2,1,18.6,-1.0
1438,Dell Inc.,"PowerEdge R710 (Intel Xeon E5520, 2.26 GHz)",Yes,8,2,4,2,29.4,31.2
1439,Dell Inc.,"PowerEdge T610 (Intel Xeon E5502, 1.86 GHz)",Yes,2,1,2,1,18.2,-1.0
1440,Dell Inc.,"PowerEdge T610 (Intel Xeon E5502, 1.86 GHz)",Yes,2,1,2,1,18.9,-1.0
1441,Dell Inc.,"PowerEdge T610 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,19.8,-1.0
1442,Dell Inc.,"PowerEdge T610 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,19.1,-1.0
1443,Dell Inc.,"PowerEdge R510 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.6,24.2
1444,Dell Inc.,"PowerEdge R510 (Intel Xeon X5550, 2.66 GHz)",Yes,8,2,4,2,35.4,37.7
1445,Dell Inc.,"PowerEdge R510 (Intel Xeon L5520, 2.26 GHz)",Yes,8,2,4,2,29.6,31.5
1446,Dell Inc.,"PowerEdge R510 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,30.8,32.8
1447,Dell Inc.,"PowerEdge R510 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,23.9,25.3
1448,Dell Inc.,"PowerEdge R510 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.9,22.0
1449,Dell Inc.,"PowerEdge R510 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,31.7,33.6
1450,Dell Inc.,"PowerEdge R510 (Intel Xeon E5520, 2.26 GHz)",Yes,8,2,4,2,29.5,31.3
1451,Dell Inc.,"PowerEdge R510 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,36.6,38.8
1452,Dell Inc.,"PowerEdge R510 (Intel Xeon X5570, 2.93 GHz)",Yes,8,2,4,2,37.6,40.3
1453,Dell Inc.,"PowerEdge R210 (Intel Xeon L3426, 1.86 GHz)",Yes,4,1,4,2,30.0,32.0
1454,Dell Inc.,"PowerEdge R210 (Intel Xeon X3430, 2.40 GHz)",Yes,4,1,4,2,27.7,28.7
1455,Dell Inc.,"PowerEdge R210 (Intel Xeon X3440, 2.53 GHz)",Yes,4,1,4,2,31.2,32.5
1456,Dell Inc.,"PowerEdge R210 (Intel Xeon X3450, 2.66 GHz)",Yes,4,1,4,2,33.3,34.0
1457,Dell Inc.,"PowerEdge R210 (Intel Xeon X3460, 2.80 GHz)",Yes,4,1,4,2,34.5,35.9
1458,Dell Inc.,"PowerEdge R210 (Intel Xeon X3470, 2.93 GHz)",Yes,4,1,4,2,36.0,37.4
1459,Dell Inc.,"PowerEdge T110 (Intel Xeon X3440, 2.53 GHz)",Yes,4,1,4,2,31.2,32.2
1460,Dell Inc.,"PowerEdge T110 (Intel Xeon X3430, 2.40 GHz)",Yes,4,1,4,2,28.3,29.5
1461,Dell Inc.,"PowerEdge T110 (Intel Xeon X3450, 2.66 GHz)",Yes,4,1,4,2,32.8,33.7
1462,Dell Inc.,"PowerEdge T110 (Intel Xeon X3460, 2.80 GHz)",Yes,4,1,4,2,34.9,36.3
1463,Dell Inc.,"PowerEdge T110 (Intel Xeon X3470, 2.93 GHz)",Yes,4,1,4,2,36.1,37.2
1464,Dell Inc.,"PowerEdge T310 (Intel Xeon X3440, 2.53 GHz)",Yes,4,1,4,2,31.5,32.8
1465,Dell Inc.,"PowerEdge T310 (Intel Xeon X3430, 2.40 GHz)",Yes,4,1,4,2,28.1,29.3
1466,Dell Inc.,"PowerEdge T310 (Intel Xeon X3450, 2.66 GHz)",Yes,4,1,4,2,33.8,34.5
1467,Dell Inc.,"PowerEdge T310 (Intel Xeon X3460, 2.80 GHz)",Yes,4,1,4,2,35.0,36.4
1468,Dell Inc.,"PowerEdge T310 (Intel Xeon X3470, 2.93 GHz)",Yes,4,1,4,2,36.5,37.8
1469,Dell Inc.,"PowerEdge R210 (Intel Core i3-540, 3.06 GHz)",Yes,2,1,2,2,27.3,30.2
1470,Dell Inc.,"PowerEdge T110 (Intel Core i3-530, 2.93 GHz)",Yes,2,1,2,2,26.6,29.5
1471,Dell Inc.,"PowerEdge T110 (Intel Core i3-540, 3.06 GHz)",Yes,2,1,2,2,27.4,30.3
1472,Dell Inc.,"PowerEdge T310 (Intel Core i3-530, 2.93 GHz)",Yes,2,1,2,2,26.7,29.5
1473,Dell Inc.,"PowerEdge T310 (Intel Core i3-540, 3.06 GHz)",Yes,2,1,2,2,27.5,30.5
1474,Dell Inc.,"PowerEdge R210 (Intel Core i3-530, 2.93 GHz)",Yes,2,1,2,2,26.6,29.5
1475,Dell Inc.,"PowerEdge R710 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,25.1,26.7
1476,Dell Inc.,"Dell Precision T7500 (Intel Xeon X5680, 3.33 GHz)",Yes,12,2,6,2,40.4,42.5
1477,Dell Inc.,"Dell Precision T7500 (Intel Xeon X5677, 3.47 GHz)",Yes,8,2,4,2,41.8,44.0
1478,Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",Yes,8,2,4,2,40.8,43.6
1479,Dell Inc.,"PowerEdge R710 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,39.8,42.5
1480,Dell Inc.,"PowerEdge R710 (Intel Xeon X5550, 2.67 GHz)",Yes,8,2,4,2,38.2,40.9
1481,Dell Inc.,"PowerEdge R710 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,34.6,36.8
1482,Dell Inc.,"PowerEdge R710 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,33.1,35.6
1483,Dell Inc.,"PowerEdge R710 (Intel Xeon E5520, 2.27 GHz)",Yes,8,2,4,2,32.4,34.5
1484,Dell Inc.,"PowerEdge R710 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,26.4,28.1
1485,Dell Inc.,"PowerEdge T710 (Intel Xeon E5640, 2.66 GHz)",Yes,8,2,4,2,36.4,38.9
1486,Dell Inc.,"PowerEdge T710 (Intel Xeon E5630, 2.53 GHz)",Yes,8,2,4,2,35.5,38.0
1487,Dell Inc.,"PowerEdge T710 (Intel Xeon X5680, 3.33 GHz)",Yes,12,2,6,2,45.1,48.0
1488,Dell Inc.,"PowerEdge T710 (Intel Xeon X5670, 2.93 GHz)",Yes,12,2,6,2,41.5,44.3
1489,Dell Inc.,"PowerEdge T710 (Intel Xeon X5677, 3.46 GHz)",Yes,8,2,4,2,45.4,48.5
1490,Dell Inc.,"PowerEdge T710 (Intel Xeon X5667, 3.06 GHz)",Yes,8,2,4,2,43.4,46.3
1491,Dell Inc.,"PowerEdge R810 (Intel Xeon L7545, 1.87 GHz)",Yes,12,2,6,2,29.9,32.6
1492,Dell Inc.,"PowerEdge R810 (Intel Xeon E7520, 1.87 GHz)",Yes,8,2,4,2,25.0,26.6
1493,Dell Inc.,"PowerEdge R810 (Intel Xeon E7540, 2.00 GHz)",Yes,12,2,6,2,29.9,32.0
1494,Dell Inc.,"PowerEdge R810 (Intel Xeon E6540, 2.00 GHz)",Yes,12,2,6,2,30.0,32.1
